id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label
6365,2 (1K-2K),renault,2004,296314,120,stationwagon,blauw,lpg g3,Handgeschakeld,5,4,1783,1332,10.9,200,5,88,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6366,6 (> 15K),bmw,2014,114708,143,sedan,bruin,diesel,Automaat,4,4,1995,1600,9.6,212,5,23,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6367,2 (1K-2K),opel,2003,327200,101,mpv,zwart,diesel,Handgeschakeld,5,4,1995,1403,14,175,7,73,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6368,3 (2K-5K),alfa,2004,251681,166,stationwagon,grijs,benzine,Handgeschakeld,5,4,1970,1310,8,220,5,116,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6371,3 (2K-5K),mercedes-benz,2006,502353,136,sedan,wit,diesel,Handgeschakeld,4,4,2149,1515,99,214,5,71,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6372,3 (2K-5K),ford,2006,277840,125,hatchback,zwart,benzine,Handgeschakeld,5,4,1798,1275,10.9,205,5,88,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6375,4 (5K-10K),opel,2013,60865,86,0,bruin,benzine,Handgeschakeld,4,4,1229,0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
6376,6 (> 15K),volkswagen,2011,107763,150,stationwagon,blauw,benzine,Handgeschakeld,4,4,1390,1410,9.3,197,5,60,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6377,4 (5K-10K),opel,2007,145044,140,sedan,grijs,benzine,Handgeschakeld,4,4,1796,1295,11,210,5,77,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6379,3 (2K-5K),chevrolet,2007,84140,72,hatchback,rood,benzine,Handgeschakeld,2,4,1150,965,13.7,157,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6380,4 (5K-10K),mini,2008,96340,174,stationwagon,blauw,benzine,Handgeschakeld,5,4,1598,1180,7.6,224,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6381,2 (1K-2K),opel,2005,208508,90,mpv,blauw,benzine,Handgeschakeld,5,4,1364,1230,13.8,168,5,58,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6382,6 (> 15K),audi,2008,105411,451,sedan,beige,benzine,Automaat,4,1,5204,1940,51,250,0,210,Euro4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6383,6 (> 15K),bmw,2014,75420,259,0,bruin,diesel,Automaat,0,6,2993,0,6.9,230,7,60,Euro6,0,1,0,0,0,1,0,0,1,0,0,0,0,0
6384,6 (> 15K),bmw,2014,168794,258,sedan,zwart,diesel,Automaat,4,0,2993,1685,5.8,250,5,43,Euro6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6385,1 (< 1K),opel,2003,238311,125,mpv,grijs,benzine,Handgeschakeld,5,4,1796,1335,11.5,188,7,104,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6386,5 (10K-15K),volkswagen,2014,42262,90,hatchback,zwart,benzine,Handgeschakeld,5,4,1197,1007,10.9,182,5,17,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6388,5 (10K-15K),volkswagen,2005,223484,420,sedan,blauw,benzine,Automaat,4,1,5998,2294,6.1,250,4,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6389,2 (1K-2K),suzuki,2002,218309,63,hatchback,geel,benzine,Handgeschakeld,5,4,1061,775,0,0,4,23,Euro3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6390,6 (> 15K),volkswagen,2014,60000,160,0,rood,benzine,Handgeschakeld,0,4,1390,1425,0,0,5,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
6391,2 (1K-2K),opel,2003,231825,75,hatchback,blauw,benzine,Handgeschakeld,5,4,1199,955,13.5,155,5,60,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6392,2 (1K-2K),honda,1997,232592,131,coupe,groen,benzine,Handgeschakeld,4,4,1997,1240,10.1,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6393,1 (< 1K),peugeot,1999,316000,68,hatchback,blauw,diesel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
6394,2 (1K-2K),renault,2004,291756,113,hatchback,zwart,benzine,Handgeschakeld,5,4,1598,0,0,192,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
